Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2016-01-04,1,1,1,0,0,0,12.360641479492188
2016-01-05,1,1,1,0,0,0,12.534207344055176
2016-01-06,1,1,1,0,0,0,12.34824275970459
2016-01-07,1,1,1,0,0,0,11.88952350616455
2016-01-08,1,1,1,0,0,0,11.833733558654783
2016-01-11,1,1,1,0,0,0,11.73454761505127
2016-01-12,1,1,1,0,0,0,11.790339469909668
2016-01-13,1,1,1,0,0,0,11.517585754394531
2016-01-14,1,1,1,0,0,0,11.808935165405272
2016-01-15,1,1,1,0,0,0,11.368816375732422
2016-01-19,1,1,1,0,0,0,11.30062484741211
2016-01-20,1,1,1,0,0,0,11.027875900268556
2016-01-21,1,1,1,0,0,0,10.742722511291504
2016-01-22,1,1,1,0,0,0,11.207642555236816
2016-01-25,1,1,1,0,0,0,10.928688049316406
2016-01-26,1,1,1,0,0,0,11.120856285095217
2016-01-27,1,1,1,0,0,0,11.269631385803224
2016-01-28,1,1,1,0,0,0,11.461795806884766
2016-01-29,1,1,1,0,0,0,12.292455673217772
2016-02-01,2,1,1,0,0,0,12.323448181152344
2016-02-02,2,1,1,0,0,0,11.523783683776855
2016-02-03,2,1,1,0,0,0,12.22426700592041
2016-02-04,2,1,1,0,0,0,12.738774299621582
2016-02-05,2,1,1,0,0,0,12.435029029846191
2016-02-08,2,1,1,0,0,0,12.143680572509766
2016-02-09,2,1,1,0,0,0,11.976306915283203
2016-02-10,2,1,1,0,0,0,12.230464935302734
2016-02-11,2,1,1,0,0,0,11.715953826904297
2016-02-12,2,1,1,0,0,0,11.988706588745115
2016-02-16,2,1,1,0,0,0,12.07548999786377
2016-02-17,2,1,1,0,0,0,12.528011322021484
2016-02-18,2,1,1,0,0,0,12.205669403076172
2016-02-19,2,1,1,0,0,0,12.28005313873291
2016-02-22,2,1,1,0,0,0,13.079713821411133
2016-02-23,2,1,1,0,0,0,12.738774299621582
2016-02-24,2,1,1,0,0,0,12.639592170715332
2016-02-25,2,1,1,0,0,0,12.62099266052246
2016-02-26,2,1,1,0,0,0,12.404032707214355
2016-02-29,2,1,1,0,0,0,12.701580047607422
2016-03-01,3,1,1,0,0,0,13.371065139770508
2016-03-02,3,1,1,0,0,0,13.705802917480469
2016-03-03,3,1,1,0,0,0,14.716227531433104
2016-03-04,3,1,1,0,0,0,15.491094589233398
2016-03-07,3,1,1,0,0,0,15.379514694213867
2016-03-08,3,1,1,0,0,0,15.44770336151123
2016-03-09,3,1,1,0,0,0,15.621273040771484
2016-03-10,3,1,1,0,0,0,16.098587036132812
2016-03-11,3,1,1,0,0,0,16.21636962890625
2016-03-14,3,1,1,0,0,0,15.745248794555664
2016-03-15,3,1,1,0,0,0,14.741023063659668
2016-03-16,3,1,1,0,0,0,15.063368797302246
2016-03-17,3,1,1,0,0,0,16.396135330200195
2016-03-18,3,1,1,0,0,0,16.61309814453125
2016-03-21,3,1,1,0,0,0,16.68128776550293
2016-03-22,3,1,1,0,0,0,16.69368553161621
2016-03-23,3,1,1,0,0,0,15.91261863708496
2016-03-24,3,1,1,0,0,0,15.918816566467283
2016-03-28,3,1,1,0,0,0,16.53870964050293
2016-03-29,3,1,1,0,0,0,16.57590103149414
2016-03-30,3,1,1,0,0,0,16.650293350219727
2016-03-31,3,1,1,0,0,0,16.303150177001953
2016-04-01,4,1,2,0,0,0,16.668888092041016
2016-04-04,4,1,2,0,0,0,15.838232040405272
2016-04-05,4,1,2,0,0,0,15.739049911499023
2016-04-06,4,1,2,0,0,0,15.60267448425293
