Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2016-01-04,1,1,1,0,0,0,36.29214859008789
2016-01-05,1,1,1,0,0,0,36.25845336914063
2016-01-06,1,1,1,0,0,0,35.65176010131836
2016-01-07,1,1,1,0,0,0,34.194000244140625
2016-01-08,1,1,1,0,0,0,33.688419342041016
2016-01-11,1,1,1,0,0,0,33.54518508911133
2016-01-12,1,1,1,0,0,0,33.63785552978516
2016-01-13,1,1,1,0,0,0,32.91321563720703
2016-01-14,1,1,1,0,0,0,33.34293746948242
2016-01-15,1,1,1,0,0,0,31.85147476196289
2016-01-19,1,1,1,0,0,0,32.576148986816406
2016-01-20,1,1,1,0,0,0,31.632404327392575
2016-01-21,1,1,1,0,0,0,31.784076690673828
2016-01-22,1,1,1,0,0,0,32.82051086425781
2016-01-25,1,1,1,0,0,0,32.14640426635742
2016-01-26,1,1,1,0,0,0,32.3654899597168
2016-01-27,1,1,1,0,0,0,31.86833000183105
2016-01-28,1,1,1,0,0,0,32.16324996948242
2016-01-29,1,1,1,0,0,0,33.09857177734375
2016-02-01,2,1,1,0,0,0,32.55087661743164
2016-02-02,2,1,1,0,0,0,31.657678604125977
2016-02-03,2,1,1,0,0,0,32.11270523071289
2016-02-04,2,1,1,0,0,0,31.800920486450195
2016-02-05,2,1,1,0,0,0,31.489145278930664
2016-02-08,2,1,1,0,0,0,30.82346534729004
2016-02-09,2,1,1,0,0,0,30.37687873840332
2016-02-10,2,1,1,0,0,0,30.62123680114746
2016-02-11,2,1,1,0,0,0,30.08194923400879
2016-02-12,2,1,1,0,0,0,30.806617736816406
2016-02-16,2,1,1,0,0,0,32.0452880859375
2016-02-17,2,1,1,0,0,0,32.576148986816406
2016-02-18,2,1,1,0,0,0,32.272796630859375
2016-02-19,2,1,1,0,0,0,32.47502899169922
2016-02-22,2,1,1,0,0,0,33.32608413696289
2016-02-23,2,1,1,0,0,0,32.43289566040039
2016-02-24,2,1,1,0,0,0,32.483455657958984
2016-02-25,2,1,1,0,0,0,32.3486328125
2016-02-26,2,1,1,0,0,0,32.3823356628418
2016-02-29,2,1,1,0,0,0,32.31492233276367
2016-03-01,3,1,1,0,0,0,33.43563461303711
2016-03-02,3,1,1,0,0,0,33.99176788330078
2016-03-03,3,1,1,0,0,0,33.974910736083984
2016-03-04,3,1,1,0,0,0,34.89338302612305
2016-03-07,3,1,1,0,0,0,34.54790496826172
2016-03-08,3,1,1,0,0,0,33.77268600463867
2016-03-09,3,1,1,0,0,0,33.89907455444336
2016-03-10,3,1,1,0,0,0,33.62943649291992
2016-03-11,3,1,1,0,0,0,34.80911636352539
2016-03-14,3,1,1,0,0,0,34.82597351074219
2016-03-15,3,1,1,0,0,0,34.58160781860352
2016-03-16,3,1,1,0,0,0,34.96080017089844
2016-03-17,3,1,1,0,0,0,35.18830490112305
2016-03-18,3,1,1,0,0,0,35.516937255859375
2016-03-21,3,1,1,0,0,0,35.71073913574219
2016-03-22,3,1,1,0,0,0,35.45795440673828
2016-03-23,3,1,1,0,0,0,34.918663024902344
2016-03-24,3,1,1,0,0,0,34.750144958496094
2016-03-28,3,1,1,0,0,0,35.011348724365234
2016-03-29,3,1,1,0,0,0,35.44109344482422
2016-03-30,3,1,1,0,0,0,35.87083435058594
2016-03-31,3,1,1,0,0,0,35.82027053833008
2016-04-01,4,1,2,0,0,0,35.693885803222656
2016-04-04,4,1,2,0,0,0,35.28099060058594
2016-04-05,4,1,2,0,0,0,34.54790496826172
2016-04-06,4,1,2,0,0,0,35.306270599365234
2016-04-07,4,1,2,0,0,0,34.708003997802734
2016-04-08,4,1,2,0,0,0,35.02820587158203
2016-04-11,4,1,2,0,0,0,35.415802001953125
2016-04-12,4,1,2,0,0,0,35.912967681884766
2016-04-13,4,1,2,0,0,0,37.16006851196289
2016-04-14,4,1,2,0,0,0,37.101070404052734
2016-04-15,4,1,2,0,0,0,36.62920379638672
2016-04-18,4,1,2,0,0,0,36.89884185791016
2016-04-19,4,1,2,0,0,0,37.27802658081055
2016-04-20,4,1,2,0,0,0,36.90726852416992
2016-04-21,4,1,2,0,0,0,36.62920379638672
2016-04-22,4,1,2,0,0,0,36.4691047668457
2016-04-25,4,1,2,0,0,0,36.17417526245117
2016-04-26,4,1,2,0,0,0,36.2500228881836
2016-04-27,4,1,2,0,0,0,36.39325714111328
2016-04-28,4,1,2,0,0,0,36.06463241577149
2016-04-29,4,1,2,0,0,0,35.61804962158203
2016-05-02,5,1,2,0,0,0,35.47480010986328
2016-05-03,5,1,2,0,0,0,34.64901351928711
2016-05-04,5,1,2,0,0,0,34.278263092041016
2016-05-05,5,1,2,0,0,0,34.38780975341797
2016-05-06,5,1,2,0,0,0,34.24454498291016
2016-05-09,5,1,2,0,0,0,33.69684600830078
2016-05-10,5,1,2,0,0,0,34.278263092041016
2016-05-11,5,1,2,0,0,0,33.87380599975586
2016-05-12,5,1,2,0,0,0,33.71369171142578
2016-05-13,5,1,2,0,0,0,33.19126510620117
2016-05-16,5,1,2,0,0,0,34.01704406738281
2016-05-17,5,1,2,0,0,0,33.890655517578125
2016-05-18,5,1,2,0,0,0,33.595726013183594
2016-05-19,5,1,2,0,0,0,33.30081558227539
2016-05-20,5,1,2,0,0,0,33.70527267456055
2016-05-23,5,1,2,0,0,0,33.66313934326172
2016-05-24,5,1,2,0,0,0,34.29512405395508
