Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI INDIA
2016-01-04,1,1,1,0,0,0,23.988008499145508
2016-01-05,1,1,1,0,0,0,24.219690322875977
2016-01-06,1,1,1,0,0,0,23.86325454711914
2016-01-07,1,1,1,0,0,0,23.105833053588867
2016-01-08,1,1,1,0,0,0,23.0078125
2016-01-11,1,1,1,0,0,0,23.248409271240234
2016-01-12,1,1,1,0,0,0,23.1414794921875
2016-01-13,1,1,1,0,0,0,22.9365291595459
2016-01-14,1,1,1,0,0,0,23.1236515045166
2016-01-15,1,1,1,0,0,0,22.437519073486328
2016-01-19,1,1,1,0,0,0,22.428607940673828
2016-01-20,1,1,1,0,0,0,22.13455390930176
2016-01-21,1,1,1,0,0,0,22.018709182739254
2016-01-22,1,1,1,0,0,0,22.597909927368164
2016-01-25,1,1,1,0,0,0,22.26821517944336
2016-01-26,1,1,1,0,0,0,22.51771545410156
2016-01-27,1,1,1,0,0,0,22.32167625427246
2016-01-28,1,1,1,0,0,0,22.45533943176269
2016-01-29,1,1,1,0,0,0,23.150388717651367
2016-02-01,2,1,1,0,0,0,23.061277389526367
2016-02-02,2,1,1,0,0,0,22.410783767700195
2016-02-03,2,1,1,0,0,0,22.69593048095703
2016-02-04,2,1,1,0,0,0,22.704843521118164
2016-02-05,2,1,1,0,0,0,22.66920280456543
2016-02-08,2,1,1,0,0,0,22.44643211364746
2016-02-09,2,1,1,0,0,0,22.054349899291992
2016-02-10,2,1,1,0,0,0,21.76029586791992
2016-02-11,2,1,1,0,0,0,21.10980033874512
2016-02-12,2,1,1,0,0,0,21.421680450439453
2016-02-16,2,1,1,0,0,0,21.35039520263672
2016-02-17,2,1,1,0,0,0,21.795936584472656
2016-02-18,2,1,1,0,0,0,21.64445304870605
2016-02-19,2,1,1,0,0,0,21.689008712768555
2016-02-22,2,1,1,0,0,0,22.09890365600586
2016-02-23,2,1,1,0,0,0,21.47515106201172
2016-02-24,2,1,1,0,0,0,21.466238021850582
2016-02-25,2,1,1,0,0,0,21.421680450439453
2016-02-26,2,1,1,0,0,0,21.181093215942383
2016-02-29,2,1,1,0,0,0,21.403858184814453
2016-03-01,3,1,1,0,0,0,22.464252471923828
2016-03-02,3,1,1,0,0,0,22.86524200439453
2016-03-03,3,1,1,0,0,0,23.070188522338867
2016-03-04,3,1,1,0,0,0,23.390979766845703
2016-03-07,3,1,1,0,0,0,23.248409271240234
2016-03-08,3,1,1,0,0,0,22.97216796875
2016-03-09,3,1,1,0,0,0,23.23949813842773
2016-03-10,3,1,1,0,0,0,23.016725540161133
2016-03-11,3,1,1,0,0,0,23.44444465637207
2016-03-14,3,1,1,0,0,0,23.30187225341797
2016-03-15,3,1,1,0,0,0,22.954349517822266
2016-03-16,3,1,1,0,0,0,23.426624298095703
2016-03-17,3,1,1,0,0,0,23.41771507263184
2016-03-18,3,1,1,0,0,0,23.622663497924805
2016-03-21,3,1,1,0,0,0,23.97018814086914
2016-03-22,3,1,1,0,0,0,23.80978775024414
2016-03-23,3,1,1,0,0,0,23.774145126342773
2016-03-24,3,1,1,0,0,0,23.756322860717773
2016-03-28,3,1,1,0,0,0,23.67612648010254
2016-03-29,3,1,1,0,0,0,23.86325454711914
2016-03-30,3,1,1,0,0,0,24.06820297241211
2016-03-31,3,1,1,0,0,0,24.166221618652344
2016-04-01,4,1,2,0,0,0,24.07711601257324
2016-04-04,4,1,2,0,0,0,24.032560348510746
2016-04-05,4,1,2,0,0,0,23.542465209960938
2016-04-06,4,1,2,0,0,0,23.720680236816406
2016-04-07,4,1,2,0,0,0,23.1592960357666
2016-04-08,4,1,2,0,0,0,23.30187225341797
2016-04-11,4,1,2,0,0,0,23.756322860717773
2016-04-12,4,1,2,0,0,0,24.094940185546875
2016-04-13,4,1,2,0,0,0,24.36225891113281
2016-04-14,4,1,2,0,0,0,24.397905349731445
2016-04-15,4,1,2,0,0,0,24.45137023925781
2016-04-18,4,1,2,0,0,0,24.56721305847168
2016-04-19,4,1,2,0,0,0,24.896913528442383
2016-04-20,4,1,2,0,0,0,24.58503150939941
2016-04-21,4,1,2,0,0,0,24.29097557067871
2016-04-22,4,1,2,0,0,0,24.23751449584961
2016-04-25,4,1,2,0,0,0,24.07711601257324
2016-04-26,4,1,2,0,0,0,24.593944549560547
2016-04-27,4,1,2,0,0,0,24.72760963439941
2016-04-28,4,1,2,0,0,0,24.14840507507324
2016-04-29,4,1,2,0,0,0,24.112756729125977
2016-05-02,5,1,2,0,0,0,24.19295692443848
2016-05-03,5,1,2,0,0,0,23.685039520263672
2016-05-04,5,1,2,0,0,0,23.542465209960938
2016-05-05,5,1,2,0,0,0,23.738506317138672
2016-05-06,5,1,2,0,0,0,23.83652114868164
2016-05-09,5,1,2,0,0,0,23.96127319335937
2016-05-10,5,1,2,0,0,0,24.23751449584961
2016-05-11,5,1,2,0,0,0,24.050382614135746
2016-05-12,5,1,2,0,0,0,24.094940185546875
2016-05-13,5,1,2,0,0,0,23.649394989013672
2016-05-16,5,1,2,0,0,0,24.01473999023437
2016-05-17,5,1,2,0,0,0,23.988008499145508
2016-05-18,5,1,2,0,0,0,23.84543228149414
2016-05-19,5,1,2,0,0,0,23.453353881835938
2016-05-20,5,1,2,0,0,0,23.44444465637207
2016-05-23,5,1,2,0,0,0,23.33751678466797
2016-05-24,5,1,2,0,0,0,23.453353881835938
2016-05-25,5,1,2,0,0,0,24.041465759277344
2016-05-26,5,1,2,0,0,0,24.47810173034668
2016-05-27,5,1,2,0,0,0,24.77216148376465
2016-05-31,5,1,2,0,0,0,24.620677947998047
2016-06-01,6,1,2,0,0,0,24.67414283752441
2016-06-02,6,1,2,0,0,0,24.941469192504883
2016-06-03,6,1,2,0,0,0,25.092952728271484
2016-06-06,6,1,2,0,0,0,25.057308197021484
2016-06-07,6,1,2,0,0,0,25.19096946716309
2016-06-08,6,1,2,0,0,0,25.33354759216309
2016-06-09,6,1,2,0,0,0,24.941469192504883
2016-06-10,6,1,2,0,0,0,24.620677947998047
2016-06-13,6,1,2,0,0,0,24.36225891113281
2016-06-14,6,1,2,0,0,0,24.353349685668945
2016-06-15,6,1,2,0,0,0,24.77216148376465
2016-06-16,6,1,2,0,0,0,24.593944549560547
2016-06-17,6,1,2,0,0,0,24.647409439086918
2016-06-20,6,1,2,0,0,0,24.74542999267578
2016-06-21,6,1,2,0,0,0,24.74542999267578
2016-06-22,6,1,2,0,0,0,24.663841247558597
2016-06-23,6,1,2,0,0,0,25.130046844482425
2016-06-24,6,1,2,0,0,0,23.982471466064453
2016-06-27,6,1,2,0,0,0,23.946609497070312
2016-06-28,6,1,2,0,0,0,24.4397087097168
2016-06-29,6,1,2,0,0,0,24.887977600097656
2016-06-30,6,1,2,0,0,0,25.03142738342285
2016-07-01,7,2,3,0,0,0,25.35418128967285
2016-07-05,7,2,3,0,0,0,25.022459030151367
2016-07-06,7,2,3,0,0,0,25.076255798339844
2016-07-07,7,2,3,0,0,0,25.06728744506836
2016-07-08,7,2,3,0,0,0,25.51555633544922
2016-07-11,7,2,3,0,0,0,25.721759796142575
2016-07-12,7,2,3,0,0,0,25.936931610107425
2016-07-13,7,2,3,0,0,0,25.901065826416016
2016-07-14,7,2,3,0,0,0,26.107276916503903
2016-07-15,7,2,3,0,0,0,25.865205764770508
2016-07-18,7,2,3,0,0,0,25.82038307189941
2016-07-19,7,2,3,0,0,0,25.784521102905277
2016-07-20,7,2,3,0,0,0,25.838314056396484
2016-07-21,7,2,3,0,0,0,25.67693519592285
2016-07-22,7,2,3,0,0,0,25.99072265625
2016-07-25,7,2,3,0,0,0,26.035552978515625
2016-07-26,7,2,3,0,0,0,25.96382713317871
2016-07-27,7,2,3,0,0,0,26.2327938079834
2016-07-28,7,2,3,0,0,0,26.41209602355957
2016-07-29,7,2,3,0,0,0,26.49279022216797
2016-08-01,8,2,3,0,0,0,26.40312957763672
2016-08-02,8,2,3,0,0,0,26.385204315185547
2016-08-03,8,2,3,0,0,0,26.331409454345703
2016-08-04,8,2,3,0,0,0,26.2327938079834
2016-08-05,8,2,3,0,0,0,26.60934066772461
2016-08-08,8,2,3,0,0,0,26.60934066772461
2016-08-09,8,2,3,0,0,0,26.618303298950195
2016-08-10,8,2,3,0,0,0,26.277618408203125
2016-08-11,8,2,3,0,0,0,26.528648376464844
2016-08-12,8,2,3,0,0,0,26.60037422180176
2016-08-15,8,2,3,0,0,0,26.645198822021484
2016-08-16,8,2,3,0,0,0,26.39416885375977
2016-08-17,8,2,3,0,0,0,26.36727333068848
2016-08-18,8,2,3,0,0,0,26.519685745239254
2016-08-19,8,2,3,0,0,0,26.42105865478516
2016-08-22,8,2,3,0,0,0,26.098308563232425
2016-08-23,8,2,3,0,0,0,26.116241455078125
2016-08-24,8,2,3,0,0,0,26.39416885375977
2016-08-25,8,2,3,0,0,0,26.187963485717773
2016-08-26,8,2,3,0,0,0,25.97279167175293
2016-08-29,8,2,3,0,0,0,26.295551300048828
2016-08-30,8,2,3,0,0,0,26.43899345397949
2016-08-31,8,2,3,0,0,0,26.501752853393555
