Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2016-01-04,1,1,1,0,0,0,29.382587432861328
2016-01-05,1,1,1,0,0,0,29.48567008972168
2016-01-06,1,1,1,0,0,0,28.5902156829834
2016-01-07,1,1,1,0,0,0,27.147165298461918
2016-01-08,1,1,1,0,0,0,26.586708068847656
2016-01-11,1,1,1,0,0,0,25.93604850769043
2016-01-12,1,1,1,0,0,0,26.36122703552246
2016-01-13,1,1,1,0,0,0,26.27103805541992
2016-01-14,1,1,1,0,0,0,26.586708068847656
2016-01-15,1,1,1,0,0,0,25.18231201171875
2016-01-19,1,1,1,0,0,0,25.517309188842773
2016-01-20,1,1,1,0,0,0,25.040590286254883
2016-01-21,1,1,1,0,0,0,25.375585556030277
2016-01-22,1,1,1,0,0,0,26.496509552001957
2016-01-25,1,1,1,0,0,0,25.807207107543945
2016-01-26,1,1,1,0,0,0,26.857267379760746
2016-01-27,1,1,1,0,0,0,26.773530960083008
2016-01-28,1,1,1,0,0,0,27.78493309020996
2016-01-29,1,1,1,0,0,0,29.524324417114254
2016-02-01,2,1,1,0,0,0,28.94452476501465
2016-02-02,2,1,1,0,0,0,27.256685256958008
2016-02-03,2,1,1,0,0,0,28.596651077270508
2016-02-04,2,1,1,0,0,0,29.07981300354004
2016-02-05,2,1,1,0,0,0,28.860767364501957
2016-02-08,2,1,1,0,0,0,28.42270851135254
2016-02-09,2,1,1,0,0,0,27.656095504760746
2016-02-10,2,1,1,0,0,0,27.9331111907959
2016-02-11,2,1,1,0,0,0,27.78493309020996
2016-02-12,2,1,1,0,0,0,28.6481876373291
2016-02-16,2,1,1,0,0,0,29.49854278564453
2016-02-17,2,1,1,0,0,0,30.3295841217041
2016-02-18,2,1,1,0,0,0,30.48419952392578
2016-02-19,2,1,1,0,0,0,29.73046875
2016-02-22,2,1,1,0,0,0,30.374679565429688
2016-02-23,2,1,1,0,0,0,29.543642044067383
2016-02-24,2,1,1,0,0,0,29.163555145263672
2016-02-25,2,1,1,0,0,0,29.382587432861328
2016-02-26,2,1,1,0,0,0,28.326080322265625
2016-02-29,2,1,1,0,0,0,28.860767364501957
2016-03-01,3,1,1,0,0,0,30.54217529296875
2016-03-02,3,1,1,0,0,0,31.134849548339844
2016-03-03,3,1,1,0,0,0,31.398983001708984
2016-03-04,3,1,1,0,0,0,31.99809455871582
